Supplier_ID,Supplier_Name,Region,Avg_Lead_Time_Days,Reliability_Score,Cost_Per_Item,Last_Order_Date,Next_Delivery_Date,On_Time_Delivery_Rate
V641,Supplier_82,Kolkata,11,4.7,108.59,2024-05-20,2024-05-31,78
V819,Supplier_83,Kolkata,13,4.6,92.3,2024-09-10,2024-09-23,83
V346,Supplier_84,Bangalore,6,3.7,119.36,2024-02-15,2024-02-21,81
V405,Supplier_85,Kolkata,7,4.6,103.78,2024-11-26,2024-12-03,79
V352,Supplier_86,Pune,10,4.1,121.41,2024-06-01,2024-06-11,88
V234,Supplier_87,Pune,14,3.7,115.88,2024-10-18,2024-11-01,73
V267,Supplier_88,Delhi,8,4.5,81.8,2024-07-03,2024-07-11,81
V577,Supplier_89,Kolkata,12,3.9,99.94,2024-04-12,2024-04-24,70
V114,Supplier_90,Bangalore,9,4.7,85.8,2024-11-11,2024-11-20,95
V860,Supplier_91,Delhi,13,3.9,115.33,2024-01-03,2024-01-16,87
V707,Supplier_92,Lucknow,3,4.5,84.98,2024-08-19,2024-08-22,93
V857,Supplier_93,Pune,3,3.9,87.12,2024-10-21,2024-10-24,91
V127,Supplier_94,Mumbai,3,4.5,82.77,2024-11-01,2024-11-04,70
V518,Supplier_95,Mumbai,3,4.4,113.89,2024-11-07,2024-11-10,77
V551,Supplier_96,Pune,5,4.7,119.02,2024-01-04,2024-01-09,90
V959,Supplier_97,Pune,11,4.8,82.94,2024-06-06,2024-06-17,72
V933,Supplier_98,Delhi,11,4.6,106.92,2024-06-03,2024-06-14,92
V350,Supplier_99,Chennai,4,4.6,89.15,2024-01-08,2024-01-12,72
V621,Supplier_100,Kolkata,9,4.4,83.52,2024-11-02,2024-11-11,86
V962,Supplier_101,Delhi,3,4.8,110.15,2024-05-05,2024-05-08,79
V755,Supplier_102,Delhi,12,5.0,99.95,2024-03-15,2024-03-27,90
V490,Supplier_103,Bangalore,10,4.4,87.2,2024-03-26,2024-04-05,84
V354,Supplier_104,Bangalore,8,4.5,107.7,2024-07-12,2024-07-20,94
V559,Supplier_105,Mumbai,4,4.3,97.73,2024-11-13,2024-11-17,73
V834,Supplier_106,Delhi,14,3.9,93.69,2024-02-17,2024-03-02,81
V935,Supplier_107,Pune,10,4.5,98.04,2024-02-12,2024-02-22,91
V716,Supplier_108,Mumbai,14,4.0,82.77,2024-07-09,2024-07-23,80
V560,Supplier_109,Chennai,8,3.8,104.58,2024-04-16,2024-04-24,85
V387,Supplier_110,Kolkata,9,4.5,94.16,2024-08-07,2024-08-16,90
V480,Supplier_111,Bangalore,9,4.1,106.75,2024-06-10,2024-06-19,95
V547,Supplier_112,Hyderabad,12,4.8,118.75,2024-09-23,2024-10-05,83
V833,Supplier_113,Kolkata,9,4.7,94.09,2024-06-23,2024-07-02,79
V599,Supplier_114,Chennai,3,3.6,115.53,2024-02-23,2024-02-26,71
V812,Supplier_115,Delhi,6,4.0,88.34,2024-09-09,2024-09-15,71
V124,Supplier_116,Kolkata,13,4.7,116.12,2024-01-12,2024-01-25,79
V780,Supplier_117,Kolkata,4,4.4,86.17,2024-06-10,2024-06-14,83
V555,Supplier_118,Lucknow,3,4.7,93.95,2024-11-21,2024-11-24,87
V997,Supplier_119,Mumbai,11,4.1,107.36,2024-04-01,2024-04-12,87
V524,Supplier_120,Mumbai,12,3.7,88.05,2024-06-12,2024-06-24,91
V530,Supplier_121,Lucknow,14,4.3,115.41,2024-09-27,2024-10-11,86
V214,Supplier_122,Mumbai,9,4.1,84.56,2024-05-23,2024-06-01,89
V730,Supplier_123,Delhi,8,4.2,87.43,2024-04-05,2024-04-13,76
V875,Supplier_124,Lucknow,14,3.8,93.18,2024-01-06,2024-01-20,82
V183,Supplier_125,Lucknow,10,4.2,84.72,2024-03-07,2024-03-17,91
V290,Supplier_126,Pune,13,4.5,108.55,2024-08-22,2024-09-04,89
V888,Supplier_127,Hyderabad,3,4.0,103.24,2024-10-10,2024-10-13,94
V137,Supplier_128,Pune,6,4.7,115.94,2024-06-10,2024-06-16,83
V556,Supplier_129,Chennai,13,4.4,115.87,2024-05-10,2024-05-23,85
V463,Supplier_130,Chennai,13,3.7,97.51,2024-06-27,2024-07-10,93
V944,Supplier_131,Kolkata,10,3.8,95.08,2024-04-06,2024-04-16,76
V870,Supplier_132,Delhi,10,4.2,93.81,2024-11-04,2024-11-14,85
V906,Supplier_133,Hyderabad,3,3.9,109.88,2024-06-18,2024-06-21,88
V359,Supplier_134,Lucknow,12,4.2,112.26,2024-07-18,2024-07-30,93
V628,Supplier_135,Hyderabad,11,4.9,113.09,2024-06-24,2024-07-05,71
V729,Supplier_136,Delhi,9,4.2,103.79,2024-09-26,2024-10-05,87
V969,Supplier_137,Chennai,14,5.0,93.02,2024-10-20,2024-11-03,95
V106,Supplier_138,Kolkata,10,3.7,82.97,2024-04-14,2024-04-24,90
V978,Supplier_139,Lucknow,8,5.0,100.21,2024-04-27,2024-05-05,76
V419,Supplier_140,Chennai,3,3.6,103.88,2024-09-15,2024-09-18,90
V215,Supplier_141,Bangalore,14,4.7,82.81,2024-01-11,2024-01-25,94
V653,Supplier_142,Delhi,7,4.5,110.3,2024-02-18,2024-02-25,90
V802,Supplier_143,Delhi,13,4.6,113.86,2024-05-02,2024-05-15,93
V216,Supplier_144,Mumbai,4,4.8,81.49,2024-07-26,2024-07-30,83
V136,Supplier_145,Bangalore,11,3.5,97.62,2024-08-25,2024-09-05,85
V939,Supplier_146,Kolkata,6,4.8,95.45,2024-03-22,2024-03-28,92
V240,Supplier_147,Lucknow,6,4.4,97.44,2024-02-08,2024-02-14,84
V912,Supplier_148,Lucknow,13,3.6,95.2,2024-03-13,2024-03-26,88
V917,Supplier_149,Chennai,12,5.0,93.35,2024-09-12,2024-09-24,83
V996,Supplier_150,Mumbai,4,5.0,109.8,2024-07-20,2024-07-24,85
V294,Supplier_151,Delhi,7,4.9,101.5,2024-04-04,2024-04-11,72
V620,Supplier_152,Bangalore,3,3.8,82.02,2024-01-09,2024-01-12,81
V993,Supplier_153,Lucknow,10,4.0,98.39,2024-10-26,2024-11-05,95
V911,Supplier_154,Pune,9,3.9,117.77,2024-06-11,2024-06-20,76
V643,Supplier_155,Hyderabad,6,4.9,102.83,2024-11-21,2024-11-27,75
V277,Supplier_156,Hyderabad,10,3.9,91.12,2024-08-09,2024-08-19,78
V175,Supplier_157,Mumbai,4,4.8,92.82,2024-01-16,2024-01-20,76
V332,Supplier_158,Pune,10,4.2,100.66,2024-09-26,2024-10-06,95
V158,Supplier_159,Hyderabad,11,4.7,117.99,2024-03-22,2024-04-02,82
V167,Supplier_160,Mumbai,5,3.7,107.85,2024-07-09,2024-07-14,94
V630,Supplier_161,Pune,9,4.1,82.76,2024-11-26,2024-12-05,89
V565,Supplier_162,Delhi,6,3.9,83.97,2024-01-27,2024-02-02,81
V827,Supplier_163,Bangalore,9,4.0,83.38,2024-10-04,2024-10-13,86
V469,Supplier_164,Chennai,12,4.5,89.72,2024-01-27,2024-02-08,77
V462,Supplier_165,Chennai,7,4.1,81.37,2024-04-04,2024-04-11,80
V286,Supplier_166,Pune,4,4.3,101.2,2024-01-01,2024-01-05,78
V499,Supplier_167,Chennai,8,4.7,115.5,2024-06-08,2024-06-16,75
V256,Supplier_168,Bangalore,10,4.2,109.08,2024-03-10,2024-03-20,75
V629,Supplier_169,Kolkata,6,4.9,83.28,2024-06-13,2024-06-19,92
V579,Supplier_170,Kolkata,5,3.6,86.92,2024-02-01,2024-02-06,93
V368,Supplier_171,Delhi,3,3.8,82.58,2024-02-03,2024-02-06,88
V718,Supplier_172,Hyderabad,8,4.4,105.3,2024-03-19,2024-03-27,92
V837,Supplier_173,Chennai,3,4.8,106.47,2024-06-05,2024-06-08,93
V325,Supplier_174,Pune,14,3.9,118.65,2024-10-16,2024-10-30,81
V268,Supplier_175,Lucknow,10,5.0,96.0,2024-09-22,2024-10-02,73
V385,Supplier_176,Bangalore,9,4.4,90.1,2024-09-14,2024-09-23,80
V414,Supplier_177,Kolkata,6,3.6,82.52,2024-09-10,2024-09-16,79
V753,Supplier_178,Delhi,11,4.6,110.09,2024-02-09,2024-02-20,89
V110,Supplier_179,Pune,6,4.8,105.44,2024-03-04,2024-03-10,90
V212,Supplier_180,Mumbai,11,3.8,101.93,2024-08-04,2024-08-15,95
V451,Supplier_181,Bangalore,3,3.5,121.67,2024-07-16,2024-07-19,80
V597,Supplier_182,Mumbai,9,4.8,103.1,2024-10-05,2024-10-14,86
V261,Supplier_183,Mumbai,6,3.6,105.47,2024-02-08,2024-02-14,78
V409,Supplier_184,Kolkata,14,3.5,105.52,2024-10-05,2024-10-19,76
V945,Supplier_185,Pune,13,3.9,106.13,2024-03-15,2024-03-28,83
V664,Supplier_186,Chennai,12,4.6,104.35,2024-08-08,2024-08-20,89
V123,Supplier_187,Kolkata,14,4.1,102.22,2024-11-01,2024-11-15,70
V567,Supplier_188,Pune,7,4.1,85.13,2024-06-21,2024-06-28,93
V890,Supplier_189,Kolkata,7,4.5,87.38,2024-04-26,2024-05-03,76
V817,Supplier_190,Mumbai,11,4.8,118.4,2024-03-07,2024-03-18,75
V309,Supplier_191,Bangalore,8,4.6,117.01,2024-08-11,2024-08-19,80
V804,Supplier_192,Hyderabad,4,4.6,113.13,2024-09-26,2024-09-30,84
V836,Supplier_193,Chennai,4,4.9,116.49,2024-10-22,2024-10-26,83
V102,Supplier_194,Delhi,3,4.6,82.24,2024-03-06,2024-03-09,95
V657,Supplier_195,Lucknow,7,4.6,117.39,2024-07-11,2024-07-18,86
V498,Supplier_196,Bangalore,7,4.4,97.94,2024-07-01,2024-07-08,85
V940,Supplier_197,Hyderabad,14,4.2,89.3,2024-04-11,2024-04-25,79
V831,Supplier_198,Chennai,12,3.7,109.13,2024-02-02,2024-02-14,78
V808,Supplier_199,Delhi,14,3.9,85.33,2024-06-21,2024-07-05,85
V867,Supplier_200,Lucknow,7,3.8,88.86,2024-04-13,2024-04-20,83
V778,Supplier_201,Delhi,8,3.9,83.14,2024-01-14,2024-01-22,72
V456,Supplier_202,Lucknow,5,4.2,85.8,2024-08-07,2024-08-12,76
V914,Supplier_203,Mumbai,6,4.6,116.94,2024-09-25,2024-10-01,72
V595,Supplier_204,Lucknow,10,4.9,84.22,2024-11-12,2024-11-22,73
V656,Supplier_205,Lucknow,6,4.3,85.25,2024-09-23,2024-09-29,89
V152,Supplier_206,Hyderabad,7,3.7,91.6,2024-06-13,2024-06-20,74
V281,Supplier_207,Delhi,13,4.4,111.19,2024-09-08,2024-09-21,92
V900,Supplier_208,Bangalore,13,4.6,112.7,2024-05-02,2024-05-15,75
V389,Supplier_209,Hyderabad,14,3.7,117.73,2024-08-03,2024-08-17,80
V116,Supplier_210,Bangalore,5,3.8,98.12,2024-10-02,2024-10-07,81
V766,Supplier_211,Mumbai,5,4.6,115.91,2024-07-24,2024-07-29,89
V439,Supplier_212,Bangalore,9,3.9,91.26,2024-06-08,2024-06-17,74
V855,Supplier_213,Delhi,14,4.8,112.91,2024-04-14,2024-04-28,77
V927,Supplier_214,Chennai,8,4.3,98.97,2024-06-10,2024-06-18,73
V946,Supplier_215,Bangalore,4,4.9,100.9,2024-10-26,2024-10-30,73
V191,Supplier_216,Mumbai,7,3.8,91.6,2024-07-24,2024-07-31,70
V681,Supplier_217,Chennai,4,4.9,94.37,2024-11-17,2024-11-21,71
V390,Supplier_218,Chennai,14,4.3,88.92,2024-05-23,2024-06-06,95
V887,Supplier_219,Mumbai,12,4.6,100.36,2024-10-05,2024-10-17,91
V526,Supplier_220,Lucknow,11,3.6,95.22,2024-04-02,2024-04-13,90
V958,Supplier_221,Kolkata,10,4.6,113.57,2024-10-06,2024-10-16,75
V122,Supplier_222,Lucknow,9,4.5,81.4,2024-05-15,2024-05-24,95
V815,Supplier_223,Bangalore,6,3.6,99.93,2024-09-04,2024-09-10,81
V623,Supplier_224,Mumbai,12,4.1,118.78,2024-07-18,2024-07-30,78
V829,Supplier_225,Chennai,11,4.2,108.13,2024-08-17,2024-08-28,71
V904,Supplier_226,Chennai,10,4.0,88.51,2024-11-03,2024-11-13,87
V713,Supplier_227,Lucknow,13,3.6,99.58,2024-04-25,2024-05-08,89
V611,Supplier_228,Kolkata,6,4.3,108.13,2024-11-05,2024-11-11,77
V310,Supplier_229,Bangalore,14,4.0,111.33,2024-05-11,2024-05-25,93
V756,Supplier_230,Hyderabad,4,4.3,118.18,2024-08-09,2024-08-13,80
V408,Supplier_231,Mumbai,10,4.0,97.9,2024-06-12,2024-06-22,76
V953,Supplier_232,Mumbai,12,4.5,107.95,2024-02-20,2024-03-03,87
V992,Supplier_233,Bangalore,3,4.0,89.35,2024-02-22,2024-02-25,94
V788,Supplier_234,Pune,12,4.5,86.56,2024-03-24,2024-04-05,77
V508,Supplier_235,Pune,4,3.9,108.73,2024-11-25,2024-11-29,89
V754,Supplier_236,Mumbai,14,4.6,120.04,2024-06-16,2024-06-30,85
V848,Supplier_237,Kolkata,6,4.4,94.33,2024-08-27,2024-09-02,83
V264,Supplier_238,Chennai,8,3.5,97.57,2024-08-19,2024-08-27,92
V998,Supplier_239,Lucknow,10,4.2,119.35,2024-10-24,2024-11-03,78
V161,Supplier_240,Bangalore,13,4.2,107.0,2024-06-22,2024-07-05,78
V724,Supplier_241,Pune,5,4.9,118.86,2024-04-23,2024-04-28,94
V626,Supplier_242,Lucknow,3,4.6,112.3,2024-09-03,2024-09-06,82
V146,Supplier_243,Kolkata,8,3.9,107.52,2024-07-08,2024-07-16,77
V542,Supplier_244,Bangalore,8,4.1,90.2,2024-07-18,2024-07-26,91
V902,Supplier_245,Bangalore,13,3.8,81.61,2024-01-10,2024-01-23,81
V315,Supplier_246,Pune,4,3.7,112.78,2024-10-17,2024-10-21,73
V721,Supplier_247,Delhi,7,5.0,89.13,2024-11-05,2024-11-12,70
V872,Supplier_248,Chennai,7,4.9,121.18,2024-07-18,2024-07-25,71
V956,Supplier_249,Lucknow,4,4.7,92.31,2024-06-24,2024-06-28,75
V564,Supplier_250,Kolkata,8,4.7,88.47,2024-02-05,2024-02-13,81
V382,Supplier_251,Hyderabad,9,4.3,109.2,2024-09-18,2024-09-27,70
V663,Supplier_252,Lucknow,3,4.3,85.17,2024-11-19,2024-11-22,88
V738,Supplier_253,Delhi,14,4.0,100.05,2024-02-12,2024-02-26,75
V318,Supplier_254,Delhi,7,4.0,113.32,2024-08-19,2024-08-26,91
V779,Supplier_255,Lucknow,12,4.1,94.38,2024-03-21,2024-04-02,88
V587,Supplier_256,Pune,5,4.8,87.15,2024-06-16,2024-06-21,92
V936,Supplier_257,Lucknow,4,3.7,103.01,2024-04-02,2024-04-06,83
V692,Supplier_258,Delhi,5,4.2,112.79,2024-01-03,2024-01-08,70
V901,Supplier_259,Bangalore,10,4.7,88.13,2024-01-04,2024-01-14,71
V979,Supplier_260,Pune,6,4.3,114.61,2024-10-02,2024-10-08,72
V994,Supplier_261,Chennai,7,4.6,91.77,2024-04-21,2024-04-28,75
V636,Supplier_262,Hyderabad,9,4.2,96.26,2024-09-12,2024-09-21,75
V206,Supplier_263,Kolkata,5,4.6,86.14,2024-09-03,2024-09-08,78
V447,Supplier_264,Mumbai,4,4.7,97.5,2024-02-19,2024-02-23,95
V527,Supplier_265,Pune,4,4.5,99.55,2024-11-11,2024-11-15,74
V801,Supplier_266,Lucknow,14,4.8,89.12,2024-11-17,2024-12-01,75
V494,Supplier_267,Chennai,10,3.9,111.17,2024-01-16,2024-01-26,89
V231,Supplier_268,Hyderabad,7,4.6,82.38,2024-10-15,2024-10-22,71
V743,Supplier_269,Lucknow,10,4.2,91.88,2024-04-12,2024-04-22,76
V488,Supplier_270,Pune,4,4.3,96.97,2024-10-21,2024-10-25,77
V132,Supplier_271,Mumbai,9,4.0,104.24,2024-08-19,2024-08-28,91
V355,Supplier_272,Delhi,7,3.8,117.67,2024-01-21,2024-01-28,86
V465,Supplier_273,Pune,5,4.8,100.41,2024-10-13,2024-10-18,91
V248,Supplier_274,Lucknow,8,3.8,105.12,2024-01-13,2024-01-21,75
V289,Supplier_275,Bangalore,11,3.8,85.33,2024-05-06,2024-05-17,72
V252,Supplier_276,Chennai,9,3.7,116.28,2024-02-05,2024-02-14,78
V482,Supplier_277,Bangalore,7,3.6,95.83,2024-04-08,2024-04-15,94
V750,Supplier_278,Hyderabad,8,4.8,119.1,2024-03-19,2024-03-27,72
V752,Supplier_279,Pune,4,3.7,106.49,2024-05-04,2024-05-08,75
V905,Supplier_280,Pune,14,4.7,102.69,2024-09-04,2024-09-18,95
V303,Supplier_281,Chennai,3,4.1,94.47,2024-06-26,2024-06-29,72
V569,Supplier_282,Hyderabad,13,3.8,121.09,2024-09-09,2024-09-22,82
V798,Supplier_283,Hyderabad,8,5.0,96.78,2024-09-11,2024-09-19,90
V302,Supplier_284,Hyderabad,8,4.0,89.16,2024-02-27,2024-03-06,72
V295,Supplier_285,Pune,13,4.4,95.88,2024-08-12,2024-08-25,81
V523,Supplier_286,Chennai,12,4.9,119.22,2024-07-20,2024-08-01,80
V195,Supplier_287,Pune,6,4.2,104.39,2024-05-13,2024-05-19,77
V856,Supplier_288,Kolkata,7,4.0,95.36,2024-07-02,2024-07-09,79
V922,Supplier_289,Hyderabad,4,3.7,110.7,2024-11-11,2024-11-15,92
V372,Supplier_290,Mumbai,12,4.6,91.77,2024-07-15,2024-07-27,91
V562,Supplier_291,Lucknow,14,4.4,108.5,2024-11-02,2024-11-16,87
V238,Supplier_292,Lucknow,13,4.9,104.84,2024-05-27,2024-06-09,70
V747,Supplier_293,Hyderabad,3,4.5,104.18,2024-01-01,2024-01-04,78
V232,Supplier_294,Kolkata,4,4.2,100.24,2024-10-13,2024-10-17,70
V280,Supplier_295,Hyderabad,12,4.0,117.03,2024-11-11,2024-11-23,92
V209,Supplier_296,Hyderabad,3,3.7,112.81,2024-03-05,2024-03-08,82
V783,Supplier_297,Mumbai,9,4.9,120.48,2024-09-24,2024-10-03,92
V337,Supplier_298,Mumbai,14,4.8,96.53,2024-07-04,2024-07-18,72
V566,Supplier_299,Chennai,12,4.2,104.25,2024-08-27,2024-09-08,88
V322,Supplier_300,Hyderabad,13,4.1,98.28,2024-05-04,2024-05-17,73
V687,Supplier_301,Lucknow,12,4.8,92.87,2024-08-09,2024-08-21,88
V144,Supplier_302,Pune,3,4.3,100.15,2024-01-12,2024-01-15,87
V423,Supplier_303,Hyderabad,4,4.5,96.62,2024-09-17,2024-09-21,73
V591,Supplier_304,Delhi,9,4.3,90.02,2024-06-13,2024-06-22,73
V650,Supplier_305,Hyderabad,5,4.0,85.24,2024-06-26,2024-07-01,75
V262,Supplier_306,Chennai,5,5.0,84.59,2024-09-16,2024-09-21,86
V497,Supplier_307,Lucknow,13,4.5,98.74,2024-02-12,2024-02-25,79
V399,Supplier_308,Delhi,5,5.0,120.28,2024-06-18,2024-06-23,71
V241,Supplier_309,Mumbai,11,4.0,118.01,2024-05-02,2024-05-13,78
V862,Supplier_310,Lucknow,12,3.7,83.74,2024-10-01,2024-10-13,91
V799,Supplier_311,Lucknow,4,4.3,118.53,2024-10-16,2024-10-20,88
V800,Supplier_312,Chennai,12,3.6,120.69,2024-05-08,2024-05-20,78
V117,Supplier_313,Pune,5,3.9,120.51,2024-03-03,2024-03-08,87
V345,Supplier_314,Pune,4,4.7,120.98,2024-08-17,2024-08-21,91
V795,Supplier_315,Bangalore,14,3.7,113.65,2024-04-15,2024-04-29,80
V913,Supplier_316,Hyderabad,14,5.0,109.96,2024-10-21,2024-11-04,82
V635,Supplier_317,Chennai,8,4.1,96.0,2024-03-11,2024-03-19,72
V594,Supplier_318,Delhi,11,4.7,99.44,2024-01-06,2024-01-17,94
V926,Supplier_319,Pune,10,3.6,87.71,2024-10-06,2024-10-16,77
V437,Supplier_320,Lucknow,12,4.3,119.36,2024-03-24,2024-04-05,95
V433,Supplier_321,Delhi,5,3.6,87.55,2024-11-02,2024-11-07,73
V886,Supplier_322,Mumbai,4,4.9,103.14,2024-07-18,2024-07-22,86
V246,Supplier_323,Pune,5,4.7,106.42,2024-08-24,2024-08-29,86
V147,Supplier_324,Lucknow,4,3.6,90.49,2024-04-11,2024-04-15,81
V767,Supplier_325,Hyderabad,14,4.1,112.64,2024-02-15,2024-02-29,80
V235,Supplier_326,Mumbai,10,4.5,108.66,2024-04-05,2024-04-15,81
V331,Supplier_327,Pune,5,4.6,88.17,2024-08-26,2024-08-31,89
V796,Supplier_328,Mumbai,12,4.2,102.42,2024-02-01,2024-02-13,83
V580,Supplier_329,Lucknow,8,5.0,101.07,2024-06-13,2024-06-21,93
V943,Supplier_330,Chennai,14,4.4,90.57,2024-01-20,2024-02-03,86
V360,Supplier_331,Hyderabad,3,5.0,100.37,2024-06-25,2024-06-28,77
V709,Supplier_332,Chennai,11,4.7,107.65,2024-01-21,2024-02-01,90
